unit_number;time_cycle;setting_1;setting_2;setting_3;sensor_2;sensor_3;sensor_4;sensor_7;sensor_8;sensor_9;sensor_13;sensor_14;sensor_20;Degradation Classification;RUL
1;19;6,83908E+15;25;0;1,74699E+16;3,60148E+16;3,05537E+15;6,97262E+15;2,12121E+15;1,44755E+16;2,20588E+15;1,50635E+16;5,11628E+15;0;166
1;20;2,87356E+16;5,83333E+15;0;5,51205E+15;2,19533E+16;3,87914E+15;7,98712E+15;2,27273E+16;1,08454E+16;2,05882E+16;1,53628E+16;6,89922E+15;0;166
1;21;4,31034E+16;5,83333E+15;0;3,49398E+16;3,27665E+16;2,68062E+15;6,81159E+14;3,18182E+16;1,1855E+16;2,94118E+16;1,7587E+16;7,36434E+15;0;166
1;22;5,11494E+15;5;0;4,6988E+16;4,77218E+15;3,09251E+15;6,08696E+15;2,12121E+15;1,77152E+16;2,20588E+15;1,5724E+16;6,04651E+15;0;166
1;23;6,95402E+15;25;0;2,8012E+15;3,73883E+14;2,11006E+16;6,65056E+15;2,27273E+16;1,10159E+16;25;1,44287E+16;6,20155E+15;0;166
1;24;4,42529E+15;75;0;3,5241E+15;4,31437E+16;2,79541E+15;5,86151E+15;3,33333E+16;9,88513E+15;2,20588E+15;1,75147E+16;6,66667E+15;0;166
1;25;6,32184E+14;1,66667E+16;0;4,6988E+16;5,02725E+15;2,89332E+16;6,68277E+15;1,81818E+16;1,45517E+16;2,05882E+16;1,89235E+16;6,27907E+15;0;166
1;26;5;6,66667E+15;0;2,86145E+14;3,93285E+14;2,33288E+16;6,8599E+15;2,57576E+16;1,13883E+16;2,64706E+16;1,61059E+15;5,5814E+15;1;166
1;27;4,31034E+16;1,66667E+16;0;3,70482E+16;4,23588E+16;3,30689E+15;6,79549E+15;1,81818E+16;1,17697E+16;3,67647E+15;1,78863E+14;6,58915E+15;1;165
1;28;3,62069E+15;9,16667E+15;0;3,43373E+16;2,57249E+15;2,84943E+15;7,77778E+15;3,33333E+16;1,26133E+16;2,94118E+16;1,41191E+16;6,74419E+15;1;164
1;29;5,68966E+15;4,16667E+16;0;2,10843E+15;3,00632E+16;3,1634E+16;7,08535E+15;2,27273E+16;1,2896E+15;2,64706E+16;1,70915E+16;6,12403E+15;1;163
1;30;3,73563E+15;5;0;2,98193E+16;4,90081E+16;2,33457E+15;7,27858E+15;2,57576E+16;1,07197E+16;1,76471E+16;1,95686E+16;7,05426E+15;1;162
1;31;5,8046E+15;9,16667E+15;0;2,43976E+15;2,86462E+15;2,47299E+16;6,89211E+15;2,72727E+15;1,66248E+16;2,64706E+16;1,30767E+15;6,20155E+15;1;161
1;32;5,28736E+15;25;0;3,37349E+16;4,43427E+16;3,05706E+16;8,22866E+15;2,12121E+15;1,31203E+16;2,79412E+15;1,53576E+16;6,82171E+15;1;160
1;33;2,58621E+15;1,66667E+16;0;4,51807E+16;3,78461E+16;3,40648E+15;7,66506E+15;2,12121E+15;1,13973E+16;2,94118E+16;1,77934E+16;5,34884E+15;1;159
1;34;5,86207E+15;4,16667E+16;0;4,00602E+16;2,27382E+15;3,07731E+14;7,16586E+15;1,9697E+16;1,10967E+16;3,08824E+15;1,3763E+16;5,1938E+15;1;158
1;35;5,17241E+15;6,66667E+15;0;3,70482E+16;4,13342E+14;3,5027E+15;7,16586E+15;2,12121E+15;1,07826E+16;1,91176E+15;2,07607E+16;7,67442E+15;1;157
1;36;4,77011E+16;3,33333E+15;0;4,00602E+16;2,32832E+15;3,93147E+16;7,53623E+15;1,66667E+16;1,02441E+16;2,35294E+16;1,67922E+16;5,5814E+15;1;156
1;37;4,77011E+16;5;0;2,3494E+16;1,75932E+14;2,8106E+15;7,69726E+15;2,57576E+16;1,51261E+16;2,35294E+16;1,65187E+15;6,58915E+15;1;155
1;38;3,96552E+16;3,33333E+15;0;2,16867E+14;4,04622E+16;2,91188E+16;7,80998E+14;2,72727E+15;1,50498E+15;2,94118E+16;1,89235E+16;7,13178E+15;1;154
1;39;3,27586E+15;4,16667E+16;0;2,40964E+16;2,65315E+15;3,11276E+16;6,63446E+15;1,81818E+16;1,34748E+16;25;1,64465E+16;4,34109E+15;1;153
1;40;5;1,66667E+16;0;3,10241E+16;2,4068E+16;3,29507E+16;7,60064E+15;2,42424E+16;1,40223E+15;1,91176E+15;1,6044E+16;5,42636E+15;1;152
1;41;6,89655E+15;8,33333E+15;0;3,58434E+15;4,41901E+15;3,53815E+14;6,23188E+15;2,42424E+16;1,22319E+16;2,20588E+15;1,96821E+16;7,67442E+15;1;151
1;42;5,28736E+15;1,66667E+16;0;2,74096E+16;2,96926E+14;3,22924E+15;6,58615E+15;2,72727E+15;1,5853E+16;25;1,59666E+16;6,66667E+15;1;150
1;43;3,44828E+15;9,16667E+15;0;3,10241E+16;4,46479E+16;4,01756E+15;6,16747E+15;1,9697E+16;1,62209E+16;3,08824E+15;1,40778E+15;6,58915E+15;1;149
1;44;4,94253E+15;6,66667E+15;0;2,16867E+14;3,46632E+16;3,19885E+16;6,92432E+13;2,12121E+15;1,12806E+16;1,76471E+16;1,62607E+15;7,13178E+15;1;148
1;45;4,25287E+16;5;0;3,9759E+14;2,48092E+16;2,85449E+15;6,40902E+15;2,72727E+15;1,73158E+16;25;1,46403E+15;5,03876E+15;1;147
1;46;5,17241E+15;5,83333E+15;0;3,6747E+16;3,76063E+16;3,21067E+16;6,2963E+15;2,42424E+16;1,73427E+16;2,94118E+16;1,48467E+15;6,12403E+15;1;146
1;47;5;9,16667E+15;0;3,01205E+15;2,02311E+16;3,48413E+15;7,29469E+15;2,42424E+16;1,36005E+16;25;1,35566E+16;6,58915E+15;1;145
1;48;6,09195E+15;5,83333E+15;0;2,04819E+15;3,80859E+15;2,85449E+15;6,71498E+15;2,72727E+15;1,05582E+15;2,64706E+16;1,55073E+16;6,20155E+15;1;144
1;49;4,1954E+16;9,16667E+15;0;3,07229E+15;2,90168E+16;2,61816E+15;7,05314E+15;2,57576E+16;1,29723E+15;2,35294E+16;1,83404E+14;7,13178E+15;1;143
1;50;3,16092E+15;4,16667E+16;0;4,6988E+16;3,80423E+15;3,60736E+15;6,55395E+15;2,42424E+16;1,20569E+16;3,08824E+15;1,41191E+16;5,50388E+14;1;142
1;51;4,42529E+15;75;0;4,81928E+15;3,16111E+16;3,06718E+15;6,24799E+15;1,81818E+16;1,13793E+16;25;1,77624E+16;6,20155E+15;1;141
1;52;6,03448E+14;4,16667E+16;0;4,66867E+14;2,77523E+16;2,24848E+16;5,13688E+15;2,12121E+15;1,53819E+16;2,79412E+15;1,69677E+14;6,66667E+15;1;140
1;53;6,2069E+15;4,16667E+16;0;4,21687E+15;1,91411E+15;3,37779E+16;6,94042E+15;2,27273E+16;1,32011E+16;2,64706E+16;1,77727E+16;5,89147E+15;1;139
1;54;4,88506E+15;9,16667E+15;0;3,64458E+15;4,69806E+15;3,19885E+16;6,60225E+15;2,12121E+15;1,55075E+16;2,64706E+16;1,54866E+16;6,35659E+15;1;138
1;55;5,51724E+15;5;0;3,61446E+16;3,03248E+15;3,263E+15;7,40741E+15;2,12121E+15;1,22095E+16;2,05882E+16;1,76282E+15;7,13178E+15;1;137
1;56;5,4023E+15;3,33333E+15;0;3,85542E+15;3,33333E+15;3,12458E+15;6,65056E+15;1,66667E+16;9,28386E+15;2,35294E+16;1,82991E+16;4,18605E+15;1;136
1;57;3,10345E+16;5;0;2,77108E+16;2,75343E+15;3,46725E+16;5,74879E+15;2,27273E+16;1,30441E+16;2,94118E+16;1,83404E+14;5,42636E+15;1;135
1;58;4,1954E+16;5,83333E+15;0;2,07831E+16;4,2337E+15;2,65699E+15;6,90821E+14;2,87879E+15;1,28332E+16;2,35294E+16;1,65858E+16;6,12403E+15;1;134
1;59;4,65517E+16;6,66667E+15;0;3,37349E+16;5,59843E+15;3,58879E+14;7,68116E+15;2,57576E+16;1,2712E+15;2,05882E+16;1,48983E+15;6,04651E+15;1;133
1;60;4,42529E+15;3,33333E+15;0;3,40361E+15;2,55287E+15;3,51452E+15;6,68277E+15;2,42424E+16;1,34434E+16;2,20588E+15;1,70038E+16;5,81395E+15;1;132
1;61;5,22989E+15;9,16667E+15;0;2,68072E+15;2,72727E+15;3,92809E+15;6,8277E+15;3,18182E+16;1,29453E+16;3,08824E+15;1,63691E+15;5,81395E+15;1;131
1;62;5,22989E+15;5,83333E+15;0;2,89157E+15;2,29998E+16;2,91864E+16;7,40741E+15;3,0303E+15;1,43094E+16;3,23529E+16;1,6689E+16;6,89922E+15;1;130
1;63;5,86207E+15;6,66667E+15;0;4,18675E+16;4,59996E+16;2,21641E+15;5,84541E+15;2,42424E+16;1,26671E+16;1,91176E+15;1,58892E+16;4,88372E+15;1;129
1;64;5,97701E+15;6,66667E+15;0;3,07229E+15;2,93656E+16;3,01485E+15;6,48953E+15;3,0303E+15;9,84475E+15;2,35294E+16;1,45577E+16;6,12403E+15;1;128
1;65;5;9,16667E+15;0;3,22289E+16;2,98234E+14;3,54321E+16;6,63446E+15;1,9697E+16;9,99731E+15;3,67647E+15;1,70296E+16;5,89147E+15;1;127
1;66;4,5977E+16;1,66667E+16;0;3,88554E+16;3,80641E+16;2,91526E+15;6,68277E+15;2,42424E+16;1,69254E+16;25;1,46455E+15;6,27907E+15;1;126
1;67;5,91954E+15;1,66667E+16;0;3,37349E+16;4,18138E+16;3,50608E+16;7,18196E+15;3,0303E+15;1,27928E+16;2,94118E+16;1,76128E+16;6,43411E+15;1;125
1;68;3,96552E+16;5;0;3,91566E+15;2,40244E+16;3,7424E+16;6,74718E+15;3,0303E+15;1,34838E+16;2,79412E+15;1,67458E+16;6,27907E+15;1;124
1;69;3,73563E+15;9,16667E+15;0;3,70482E+16;4,28603E+16;3,2056E+15;7,72947E+15;2,57576E+16;1,29498E+16;3,23529E+16;1,50635E+16;6,66667E+15;1;123
1;70;4,71264E+16;6,66667E+15;0;3,04217E+16;2,82974E+15;3,46556E+16;6,69887E+15;3,18182E+16;1,42242E+16;3,52941E+16;1,56982E+15;5,5814E+15;1;122
1;71;5,91954E+15;25;0;3,01205E+15;2,04273E+16;3,51789E+15;6,77939E+15;1,9697E+16;1,09306E+16;3,08824E+15;1,77211E+16;5,11628E+15;1;121
1;72;4,02299E+16;5,83333E+15;0;3,61446E+16;1,78984E+16;4,14585E+15;6,2963E+15;2,57576E+16;1,46684E+16;3,08824E+15;1,75508E+16;5,42636E+15;1;120
1;73;4,31034E+16;3,33333E+15;0;3,25301E+15;4,57816E+15;2,64686E+15;6,48953E+15;1,9697E+16;1,25236E+16;3,23529E+16;1,5435E+16;6,89922E+15;1;119
1;74;6,55172E+15;5,83333E+15;0;5,27108E+15;2,96708E+15;3,24612E+15;6,73108E+15;2,57576E+16;1,08229E+16;1,32353E+15;1,68903E+16;5,11628E+15;1;118
1;75;5,51724E+15;1,66667E+16;0;2,25904E+15;2,45912E+15;2,12188E+16;6,03865E+15;2,57576E+16;9,23898E+15;3,38235E+15;1,55795E+16;5,81395E+15;1;117
1;76;4,13793E+16;6,66667E+15;0;3,01205E+15;3,96119E+16;2,81735E+16;6,13527E+15;1,81818E+16;1,56242E+16;2,20588E+15;1,88358E+16;6,82171E+15;1;116
1;77;6,26437E+15;8,33333E+15;0;4,03614E+15;3,32679E+16;3,16003E+16;7,66506E+15;2,42424E+16;1,10877E+16;2,94118E+16;1,82217E+16;6,58915E+15;1;115
1;78;7,29885E+15;6,66667E+15;0;2,3494E+16;2,11903E+15;3,68839E+16;5,82931E+15;2,72727E+15;9,26142E+14;4,11765E+16;1,75302E+15;5,73643E+15;1;114
1;79;6,26437E+15;3,33333E+15;0;2,74096E+16;2,48964E+16;3,65969E+15;6,3124E+15;2,12121E+15;1,17248E+16;3,67647E+15;1,82991E+16;5,89147E+15;1;113
1;80;4,88506E+15;1,66667E+16;0;2,1988E+16;4,56072E+16;1,91256E+16;6,53784E+15;2,42424E+16;9,84475E+15;3,23529E+16;1,79172E+16;5,81395E+15;1;112
1;81;3,96552E+16;1,66667E+16;0;4,57831E+16;3,00414E+15;3,34065E+15;6,48953E+15;3,0303E+15;1,05806E+16;25;1,49293E+16;4,88372E+15;1;111
1;82;4,31034E+16;5,83333E+15;0;2,5E+16;3,93067E+16;2,85618E+16;6,97262E+15;3,0303E+15;1,18864E+16;2,20588E+15;1,75973E+16;5,81395E+15;1;110
1;83;5,22989E+15;9,16667E+15;0;4,36747E+15;3,70831E+15;4,07326E+16;5,86151E+15;2,72727E+15;1,22723E+16;25;1,61936E+16;5,11628E+15;1;109
1;84;5,28736E+15;6,66667E+15;0;4,30723E+14;3,15675E+16;4,1104E+15;6,53784E+15;2,27273E+16;1,2896E+15;2,64706E+16;1,63072E+15;4,57364E+15;1;108
1;85;6,43678E+15;75;0;3,22289E+16;4,15958E+16;4,00236E+15;7,32689E+15;1,66667E+16;1,54133E+16;25;1,82527E+16;6,74419E+15;1;107
1;86;4,31034E+16;8,33333E+15;0;1,89759E+16;3,87181E+15;3,59723E+15;6,18357E+15;3,0303E+15;1,14556E+16;3,08824E+15;1,55434E+16;6,20155E+15;1;106
1;87;5;1,66667E+16;0;3,37349E+16;3,41182E+15;5,20763E+15;6,8438E+15;3,63636E+15;1,29184E+16;2,64706E+16;1,5724E+16;5,73643E+15;1;105
1;88;6,66667E+15;75;0;2,25904E+15;2,23458E+16;4,02431E+15;7,45572E+15;2,57576E+16;1,12178E+16;2,35294E+16;1,6271E+16;5,89147E+15;1;104
1;89;5,45977E+15;4,16667E+16;0;3,10241E+16;2,98452E+15;3,37103E+16;6,53784E+15;2,27273E+16;1,50363E+16;2,94118E+16;1,81701E+16;6,27907E+15;1;103
1;90;5,97701E+15;4,16667E+16;0;4,39759E+15;2,90822E+15;5,17893E+15;4,87923E+15;3,0303E+15;1,3255E+16;3,08824E+15;1,53679E+16;6,51163E+14;1;102
1;91;6,43678E+15;1,66667E+16;0;2,31928E+16;3,0085E+15;3,7998E+15;5,94203E+15;2,12121E+15;1,30082E+16;3,23529E+16;1,77831E+15;7,51938E+15;1;101
1;92;5,57471E+15;3,33333E+15;0;5,06024E+15;4,13996E+16;3,12627E+16;6,37681E+14;3,63636E+15;1,19492E+16;25;1,62297E+16;6,58915E+15;1;100
1;93;6,83908E+15;6,66667E+15;0;4,93976E+15;4,94877E+15;4,42775E+16;6,79549E+15;2,57576E+16;1,17293E+16;2,94118E+16;1,7138E+16;5,5814E+15;1;99
1;94;3,7931E+15;6,66667E+15;0;3,73494E+15;2,66623E+16;3,83018E+16;6,45733E+15;3,78788E+16;1,0814E+15;2,79412E+15;1,6751E+16;5,50388E+14;1;98
1;95;6,09195E+15;75;0;4,96988E+16;1,43013E+16;4,70122E+16;6,53784E+15;1,81818E+16;1,21691E+16;2,05882E+16;1,63536E+16;4,8062E+14;1;97
1;96;3,04598E+15;5,83333E+15;0;2,95181E+15;2,84064E+16;2,17927E+16;5,61997E+15;2,57576E+16;1,21063E+15;2,64706E+16;1,58685E+16;5,73643E+15;1;96
1;97;7,01149E+15;25;0;2,59036E+16;5,39132E+15;4,31465E+16;5,71659E+15;2,87879E+15;1,09351E+16;2,64706E+16;1,48622E+16;6,74419E+15;1;95
1;98;5,34483E+15;8,33333E+15;0;2,37952E+16;4,37541E+16;3,76604E+16;4,66989E+15;2,42424E+16;1,06614E+16;2,64706E+16;1,44236E+16;6,35659E+15;1;94
1;99;4,71264E+16;5;0;3,76506E+15;4,72858E+14;4,03106E+15;6,2963E+15;2,72727E+15;1,05044E+16;3,23529E+16;1,64258E+16;5,27132E+15;1;93
1;100;3,7931E+15;25;0;3,04217E+16;4,05276E+15;4,91222E+15;7,03704E+15;2,57576E+16;1,07646E+16;2,94118E+16;1,67974E+16;6,12403E+15;1;92
1;101;5,68966E+15;75;0;4,63855E+14;2,86462E+15;3,57191E+15;5,66828E+15;2,42424E+16;1,37171E+16;2,94118E+16;1,34328E+16;4,72868E+16;1;91
1;102;5,97701E+15;9,16667E+15;0;4,93976E+15;3,93939E+16;3,5736E+16;5,74879E+15;3,78788E+16;1,32953E+16;25;1,57189E+16;6,20155E+15;1;90
1;103;4,25287E+16;5,83333E+15;0;3,01205E+15;2,23022E+16;3,53815E+14;6,10306E+15;2,87879E+15;1,41569E+16;3,23529E+16;1,26226E+16;4,26357E+16;1;89
1;104;4,94253E+15;5,83333E+15;0;3,25301E+15;4,27077E+16;4,05132E+14;6,13527E+15;2,72727E+15;1,03204E+16;3,08824E+15;1,64878E+16;6,35659E+15;1;88
1;105;6,37931E+15;8,33333E+15;0;2,40964E+16;3,75845E+14;3,53984E+16;5,2496E+15;2,87879E+15;1,19492E+16;2,94118E+16;1,75818E+15;4,88372E+15;1;87
1;106;5;5,83333E+15;0;4,42771E+15;3,92631E+16;3,74747E+16;6,03865E+15;2,72727E+15;1,26043E+16;3,08824E+15;1,36443E+16;7,28682E+15;1;86
1;107;4,31034E+16;4,16667E+16;0;3,9759E+14;5,2518E+15;4,30115E+16;6,26409E+14;2,57576E+16;1,20928E+16;2,79412E+15;1,6751E+16;6,74419E+15;1;85
1;108;5,45977E+15;5,83333E+15;0;6,86747E+15;3,24177E+16;2,90682E+16;7,3752E+14;3,63636E+15;1,13524E+16;2,20588E+15;1,62968E+16;4,72868E+16;1;84
1;109;4,36782E+15;25;0;3,85542E+15;3,35949E+16;4,53241E+15;6,02254E+15;3,0303E+15;1,31921E+16;3,38235E+15;1,6013E+15;7,05426E+15;1;83
1;110;5;8,33333E+15;0;4,03614E+15;4,1356E+16;3,21067E+16;6,81159E+14;3,48485E+15;1,33133E+15;3,52941E+16;1,40469E+16;7,13178E+15;1;82
1;111;5,45977E+15;8,33333E+15;0;4,39759E+15;2,90822E+15;4,36529E+16;5,86151E+15;3,33333E+16;1,3421E+15;3,82353E+16;1,6751E+16;6,04651E+15;1;81
1;112;5,28736E+15;75;0;4,36747E+15;3,36167E+16;3,30689E+15;5,37842E+15;2,42424E+16;1,32594E+16;2,94118E+16;1,62968E+16;5,42636E+15;1;80
1;113;5,4023E+15;5,83333E+15;0;4,42771E+15;4,31873E+15;4,10871E+16;4,92754E+15;3,0303E+15;1,40985E+15;4,11765E+16;1,51615E+16;5,89147E+15;1;79
1;114;5,17241E+15;8,33333E+15;0;3,31325E+15;3,78897E+15;3,49764E+15;7,14976E+15;2,57576E+16;1,11505E+16;3,97059E+14;1,67303E+16;5,81395E+15;1;78
1;115;4,02299E+16;9,16667E+15;0;4,36747E+15;5,18858E+15;4,1104E+15;6,89211E+15;3,18182E+16;1,28511E+16;3,52941E+16;1,42739E+16;6,12403E+15;1;77
1;116;3,85057E+15;25;0;4,30723E+14;2,02093E+16;3,33221E+16;7,32689E+15;2,72727E+15;1,2555E+16;25;1,7814E+16;6,89922E+15;1;76
1;117;5,28736E+15;8,33333E+15;0;3,5241E+15;4,08328E+15;4,57461E+15;7,63285E+15;3,0303E+15;1,25101E+16;3,23529E+16;1,35102E+16;4,57364E+15;1;75
1;118;4,65517E+16;1,66667E+16;0;3,40361E+15;3,18945E+14;4,57292E+16;7,08535E+15;3,0303E+15;1,31877E+16;3,52941E+16;1,82011E+16;5,73643E+15;1;74
1;119;5,74713E+15;9,16667E+15;0;4,39759E+15;5,61587E+15;3,74916E+15;6,3124E+15;3,0303E+15;1,08409E+16;3,08824E+15;1,23387E+16;6,74419E+15;1;73
1;120;3,62069E+15;9,16667E+15;0;4,81928E+15;4,95749E+15;4,29271E+15;6,13527E+15;3,0303E+15;1,21107E+14;3,23529E+16;1,32263E+14;5,1938E+15;1;72
1;121;3,10345E+16;8,33333E+15;0;4,27711E+15;4,90953E+16;5,00506E+15;6,19968E+15;2,57576E+16;8,63322E+15;2,35294E+16;1,75457E+16;3,79845E+14;1;71
1;122;6,49425E+15;4,16667E+16;0;6,29518E+15;4,93569E+16;5,35449E+15;5,7649E+15;3,78788E+16;9,27039E+15;3,52941E+16;1,64465E+16;5,5814E+15;1;70
1;123;5,91954E+15;3,33333E+15;0;6,56627E+15;3,40528E+16;3,50945E+15;4,49275E+16;3,33333E+16;1,24338E+16;4,26471E+15;1,53679E+16;5,89147E+15;1;69
1;124;6,43678E+15;6,66667E+15;0;3,8253E+16;3,50992E+16;3,38116E+15;3,88084E+15;3,48485E+15;1,40447E+16;3,67647E+15;1,74837E+15;5,11628E+15;1;68
1;125;4,77011E+16;9,16667E+15;0;5,27108E+15;3,14585E+16;4,08001E+15;4,17069E+16;3,48485E+15;1,0962E+16;3,38235E+15;1,36185E+16;4,18605E+15;1;67
1;126;5,91954E+15;5,83333E+15;0;3,85542E+15;2,52889E+15;6,11918E+15;6,23188E+15;2,27273E+16;1,22857E+15;2,94118E+16;1,59975E+16;5,50388E+14;1;66
1;127;4,42529E+15;6,66667E+15;0;5,36145E+15;3,4576E+15;2,9102E+14;6,37681E+14;2,87879E+15;1,17428E+16;3,23529E+16;1,70606E+16;5,96899E+15;1;65
1;128;4,65517E+16;75;0;3,79518E+15;4,97711E+15;4,18805E+15;4,65378E+15;3,48485E+15;1,56421E+16;4,11765E+16;1,65858E+16;5,50388E+14;1;64
1;129;3,10345E+16;75;0;3,61446E+16;4,42337E+15;4,41762E+16;4,13849E+16;2,87879E+15;1,09261E+16;3,67647E+15;1,41346E+15;5,42636E+15;1;63
1;130;4,5977E+16;6,66667E+15;0;4,48795E+15;3,23959E+15;5,06415E+14;4,52496E+15;3,48485E+15;9,53065E+15;2,79412E+15;1,30818E+16;4,4186E+15;1;62
1;131;5,11494E+15;4,16667E+16;0;5,42169E+15;3,21343E+15;5,23295E+15;6,19968E+15;3,18182E+16;1,04864E+16;3,67647E+15;1,36443E+16;4,57364E+15;1;61
1;132;6,83908E+15;4,16667E+16;0;5,96386E+15;5,45455E+15;3,9686E+15;5,33011E+15;4,09091E+15;1,00108E+16;4,11765E+16;1,49551E+16;3,02326E+15;1;60
1;133;6,83908E+15;3,33333E+15;0;3,73494E+15;4,70896E+16;4,7029E+15;6,39291E+15;3,18182E+16;1,31114E+16;3,08824E+15;1,59924E+16;6,27907E+15;1;59
1;134;4,1954E+16;5;0;4,93976E+15;2,74253E+14;3,447E+15;5,39452E+15;3,18182E+16;1,0962E+16;3,67647E+15;1,61833E+16;4,18605E+15;1;58
1;135;4,02299E+16;5,83333E+15;0;3,73494E+15;3,16329E+14;4,14922E+16;5,21739E+15;3,63636E+15;1,29768E+15;3,52941E+16;1,51718E+16;5,50388E+14;1;57
1;136;6,72414E+15;4,16667E+16;0;4,90964E+16;2,98234E+14;3,73734E+16;6,97262E+15;2,42424E+16;8,59733E+15;3,38235E+15;1,57343E+16;4,8062E+14;1;56
1;137;4,36782E+15;5;0;3,6747E+16;5,15588E+14;3,86563E+16;5,70048E+15;3,63636E+15;8,44476E+15;3,52941E+16;1,48983E+15;5,65891E+15;1;55
1;138;4,36782E+15;5,83333E+15;0;4,75904E+16;4,09418E+14;5,24814E+15;4,92754E+15;3,18182E+16;1,25236E+16;4,41176E+16;1,53421E+15;6,66667E+15;1;54
1;139;4,1954E+16;9,16667E+15;0;5,72289E+15;4,63048E+16;5,12323E+15;5,47504E+15;2,42424E+16;1,03563E+16;3,97059E+14;1,29167E+15;5,73643E+15;1;53
1;140;4,65517E+16;4,16667E+16;0;5,54217E+15;4,32745E+15;4,40749E+15;3,7037E+15;4,09091E+15;1,53101E+15;25;1,56518E+15;5,27132E+15;1;52
1;141;3,67816E+14;9,16667E+15;0;3,55422E+16;4,13778E+15;5,57056E+15;5,7971E+15;3,48485E+15;1,3071E+15;4,11765E+16;1,08319E+16;6,82171E+15;1;51
1;142;6,49425E+15;6,66667E+15;0;3,91566E+15;5,28668E+15;5,26165E+15;5,2496E+15;3,0303E+15;1,1164E+15;4,41176E+16;1,28651E+13;4,4186E+15;1;50
1;143;4,71264E+16;25;0;4,6988E+16;4,80924E+16;3,70695E+15;6,07085E+15;3,48485E+15;1,29678E+15;3,38235E+15;1,38662E+16;5,03876E+15;1;49
1;144;6,43678E+15;1,66667E+16;0;5,66265E+15;4,54545E+16;3,9686E+15;6,3124E+15;4,09091E+15;1,23845E+16;4,26471E+15;1,31747E+15;4,72868E+16;1;48
